Nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,label
25.0,129.0,195,"17,98667801°C","81,17712085%","5,777271492","72,37127689",Grapes
106.0,20.0,51,"29,73019662°C","90,97015715%","6,342573112","20,49035619",muskmelon
33.0,59.0,22,"22,64236876°C","21,59396123%","5,946999529","122,3886015",kidneybeans
89.0,9.0,47,"29,47156259°C","90,77069618%","6,668382766","28,75226067",muskmelon
62.0,49.0,37,"24,21744605°C","82,85284045%","7,479248124","166,1365886",jute
104.0,17.0,46,"25,7131428°C","80,22972777%","6,190015912","43,08961827",watermelon
9.0,69.0,20,"19,30607278°C","23,96362799%","5,591560999","129,3449326",kidneybeans
1.0,17.0,6,"10,78689755°C","91,38411917%","6,8198271","117,5293447",orange
96.0,41.0,40,"23,58419277°C","72,00460848%","6,090060478","190,4242157",jute
27.0,57.0,24,"27,33534897°C","43,35795962%","6,09186275","142,3303677",pigeonpeas
39.0,17.0,45,"18,09691127°C","90,42177379%","6,924490731","104,88189",pomegranate
99.0,41.0,36,"24,45802087°C","82,74835604%","6,738652179","182,5616319",rice
116.0,23.0,25,"23,4123707°C","52,26994674%","6,869720196","139,3670753",coffee
1.0,35.0,34,"30,79375683°C","46,69536813%","6,27339822","92,21318555",mango
3.0,56.0,17,"28,19912143°C","53,50567601%","8,709291688","52,13580529",mothbeans
112.0,73.0,48,"29,2440638°C","77,32017166%","5,707488987","90,66727868",banana
109.0,91.0,53,"29,66727337°C","83,51014178%","6,010095853","110,2511102",banana
32.0,20.0,35,"26,52166434°C","98,38227669%","5,588655387","144,6261698",coconut
93.0,94.0,53,"25,86632408°C","84,42379269%","6,079178788","114,5357503",banana
37.0,18.0,12,"10,2708877°C","90,19147747%","7,401121811","106,6955204",orange
17.0,74.0,17,"26,03026959°C","69,55863145%","7,393210848","37,11395801",lentil
28.0,123.0,202,"22,76643029°C","92,12438519%","6,442289294","120,4359949",apple
5.0,15.0,38,"18,26233221°C","88,16779129%","5,709380472","108,0756727",Pomegranate
39.0,70.0,52,"26,26559543°C","90,79668055%","6,65149129","59,49373381",papaya
110.0,14.0,51,"27,02415146°C","91,66737633%","6,085444691","21,26034986",muskmelon
100.0,74.0,52,"25,43480512°C","81,53977797%","5,837258235","96,47800391",banana
17.0,134.0,204,"39,04071989°C","80,18393287%","6,499604931","73,88467027",Grapes
17.0,30.0,27,"29,03065024°C","90,79093862%","5,894027065","205,5720367",coconut
101.0,37.0,18,"22,92360984°C","82,68738535%","7,63737841","92,91915074",cotton
119.0,7.0,55,"26,03867719°C","84,6378378%","6,031424482","44,3993381",watermelon
96.0,54.0,22,"25,70196694°C","61,33450447%","6,960358276","83,20711308",maize
77.0,57.0,21,"24,9321581°C","73,80435276%","6,550563823","79,74078719",maize
93.0,20.0,50,"29,93061247°C","93,22980899%","6,448792689","24,34814338",muskmelon
40.0,136.0,202,"22,85267372°C","94,5764581%","5,935336308","117,5314026",apple
22.0,55.0,24,"28,56800579°C","57,30636014%","8,66077954","64,53027638",mothbeans
129.0,47.0,20,"24,41212325°C","80,80343786%","6,281913858","98,60457373",cotton
29.0,35.0,28,"28,3471611°C","53,53903102%","6,967417766","90,40260445",mango
41.0,62.0,15,"29,38400259°C","64,14928485%","7,358974541","65,24194361",blackgram
34.0,60.0,25,"29,78416743°C","85,16906976%","6,79385576","40,77872823",mungbean
30.0,7.0,15,"33,23453301°C","91,06053924%","7,825531916","115,7659902",orange
27.0,74.0,20,"24,69487673°C","59,96669215%","5,859813416","91,95792434",pigeonpeas
32.0,121.0,199,"39,37102553°C","81,25353895%","6,129812716","74,08101744",grapes
12.0,20.0,10,"24,45132792°C","93,10527686%","6,528354932","109,4711098",orange
54.0,66.0,52,"36,56769731°C","93,79503425%","6,867554147","104,4218596",papaya
17.0,11.0,32,"28,74013335°C","93,39676499%","5,620733794","156,7650823",coconut
0.0,17.0,42,"23,20242586°C","91,19442671%","6,859840821","109,0946323",Pomegranate
34.0,65.0,47,"23,48546973°C","93,71043692%","6,833768535","191,7760562",papaya
108.0,33.0,31,"23,69287069°C","66,76090123%","7,393825704","144,6576424",coffee
59.0,55.0,79,"20,36720401°C","16,89574311%","8,766128654","82,2545577",chickpea
64.0,53.0,38,"26,24347471°C","78,51063754%","6,855362875","183,4065252",jute
39.0,76.0,76,"19,96837462°C","15,57324389%","8,135900726","69,15759062",chickpea
94.0,39.0,18,"23,89114571°C","57,48775781%","5,893093135","102,8301942",maize
5.0,65.0,19,"18,28072173°C","68,10365387%","6,978361689","48,80253285",lentil
34.0,21.0,42,"18,75927679°C","89,93457597%","6,648687274","111,0196744",pomegranate
106.0,40.0,30,"23,42611644°C","64,10651528%","6,779984384","122,6847408",coffee
20.0,45.0,17,"28,17458662°C","83,69659318%","6,770955317","37,2464655",mungbean
119.0,30.0,49,"25,35794749°C","80,45846265%","6,903020221","47,72078245",watermelon
102.0,28.0,54,"25,15623099°C","80,27525115%","6,862157042","55,49541453",watermelon
107.0,42.0,24,"22,04612876°C","84,62978302%","6,144631795","86,00758678",cotton
9.0,21.0,32,"32,26935342°C","53,56092806%","5,870116071","95,94035356",mango
27.0,64.0,21,"32,84213012°C","68,68401492%","7,543804223","73,67166182",blackgram
24.0,44.0,17,"29,8596912°C","80,03499648%","6,666380512","50,66487502",mungbean
8.0,26.0,36,"18,78359608°C","87,4024767%","6,804781106","102,5184759",pomegranate
114.0,94.0,53,"26,33544853°C","76,8532006%","6,190757459","118,6858263",banana
88.0,21.0,27,"24,43011925°C","66,02411187%","7,231166546","181,6368274",coffee
84.0,29.0,49,"29,94349168°C","93,90741192%","6,251420275","20,39020503",muskmelon
52.0,56.0,85,"20,1187446°C","14,44228303%","6,81712422","88,68168643",chickpea
6.0,128.0,200,"25,96308415°C","82,57813624%","5,838748311","70,31782647",grapes
0.0,145.0,205,"21,22503442°C","90,09877774%","5,52078314","113,9760462",apple
74.0,40.0,40,"25,13842773°C","83,12053888%","6,386259978","169,3388465",jute
0.0,137.0,195,"22,4359017°C","80,18612085%","6,329499832","65,3973168",grapes
0.0,17.0,30,"35,47478322°C","47,97230503%","6,279133738","97,79072474",mango
31.0,26.0,9,"11,69894639°C","93,25638873%","7,566165721","103,2005992",orange
90.0,49.0,21,"24,84016732°C","68,3584573%","6,472523287","74,05474936",maize
74.0,54.0,38,"25,65553461°C","83,47021081%","7,120272972","217,3788583",rice
107.0,10.0,49,"25,83202912°C","89,00481725%","6,755192025","45,24690619",watermelon
111.0,6.0,53,"26,4930645°C","88,59143088%","6,313512999","46,06382209",watermelon
75.0,53.0,18,"20,68899915°C","59,4375337%","6,864793607","103,651438",maize
